,index,Unnamed: 0,SeriesName,SeriesCode,CountryName,CountryCode,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,0,0,ignore,NY.GDP.MKTP.CD,Afghanistan,AFG,1373333366.6666698,1408888922.22222,1748886595.5555599,1831108971.1111102,1595555475.5555599,1733333264.4444401,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.6109796,3641723321.99546,3478787909.09091,3427931810.531057,3377075711.971205,3326219613.411353,3275363514.8515,3224507416.2916474,3173651317.731795,3122795219.171942,3071939120.6120896,3021083022.052237,2970226923.4923854,2919370824.9325323,2868514726.37268,2817658627.812828,2766802529.252975,2715946430.693123,2665090332.13327,2614234233.5734177,2563378135.013565,2512522036.4537125,2461665937.8938603,4128820723.0471296,4583644246.48061,5285465685.86423,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20264253974.1138,20616104297.6662,19215562178.9798,19469022207.6357,19469022207.6357
1,1,1,ignore,NY.GDP.MKTP.CD,Albania,ALB,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1957421635.6,1924242453.00793,1965384586.2409,2173750012.5,2156624900.0,2126000000.0,2335124987.5,2101624962.5,1139166645.8333302,709452583.880319,1228071037.84446,1985673798.10258,2424499009.1426396,3314898291.75235,2359903108.38446,2707123772.16195,3414760915.27878,3632043907.9773297,4060758804.12084,4435078647.74817,5746945912.58082,7314865175.6199,8158548716.68554,8992642348.7871,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12776277515.48,13228244357.1813,11335264966.561,11863865978.0942,11758145775.8
2,2,2,ignore,NY.GDP.MKTP.CD,Algeria,DZA,3852115816.9775796,4257218772.15369,4863487492.65763,5077222366.97472,6761786386.54713,8715105930.491009,13209713643.3219,15557934268.4965,17728347374.994,20971901273.271,26364491313.4471,33243422157.6311,42345277342.0195,44348672667.8715,45207088715.6483,48801369800.3675,53698278905.9678,57937868670.1937,63696301892.8116,66742267773.1959,59089067187.3943,55631489801.5508,62045099642.7774,45715367087.1001,48003298223.1178,49946455210.965996,42542571305.5136,41764052457.8814,46941496779.8499,48177862501.9495,48187747528.899,48640574566.6476,54790245600.5846,54744714396.1666,56760288973.6703,67863829880.4832,85324998813.604,103198228458.58801,117027304746.54,134977087734.00801,171000691877.714,137211039898.19301,161207268655.392,200019057307.655,209058991952.125,209755003250.66397,213810022462.428,165874330876.32098,159049096745.249,159049096745.249
3,3,3,ignore,NY.GDP.MKTP.CD,American Samoa,ASM,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,517900000.0,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,643000000.0,659000000.0,658000000.0,651800000.0
4,4,4,ignore,NY.GDP.MKTP.CD,Andorra,AND,84256231.5258,84256231.5258,78619206.0850963,89409820.3592814,113408231.94408502,150820102.798401,186558696.279204,220127246.376812,227281024.620741,254020153.340635,308008897.569444,411578334.159643,446416105.825017,388958731.302938,375895956.383462,327861832.94663596,330070689.29828197,346737964.774951,482000594.03587997,611316399.407088,721425939.15155,795449332.396346,1029048481.88051,1106928582.86629,1210013651.87713,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.6268198,1180597272.72727,1211932397.81713,1239876305.13531,1434429703.33518,1496912751.67785,1733116883.1168802,2398645598.19413,2935659299.72684,3255789080.96008,3543256805.92147,4016972351.4919205,4007353156.58415,3660530702.97305,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.3250103,3350736367.25488,2811489408.89431,2858517699.11504,2835003554.0
5,5,5,ignore,NY.GDP.MKTP.CD,Angola,AGO,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,7018716577.54,6684491978.60963,6684491978.60963,6684491978.60963,6684491978.60963,10026737967.9144,10026737967.9144,12118610904.2251,5684291718.77106,5278182970.79618,4059352153.0536795,5039552482.42778,7526446605.51712,7648377412.83277,6445041824.66621,6152922942.98032,9129594818.60749,8936063723.20121,12497346669.6684,14188949190.618,19640848728.8937,28233712830.9035,41789478661.3096,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737,115398371427.673,124912063308.202,126776874216.703,102962245246.70801,95335111741.2025,100004714690.0
6,6,6,ignore,NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,82731581.4815,82731581.4815,82731581.4815,82731581.4815,82731581.4815,82731581.4815,82731581.4815,82731581.4815,82731581.4815,77496740.7407407,87879333.3333333,109079962.962963,131431037.03703701,147841740.74074098,164369296.296296,182144111.11111102,208372851.851852,240923925.92592597,290440148.148148,337174851.851852,398637740.740741,438794777.77777797,459469074.07407403,481706333.333333,499281148.14814806,535172777.777778,589429592.592593,577280740.740741,633730629.62963,680617111.111111,727860592.592593,766198925.925926,830158768.888889,800740257.407407,814615323.703704,855643099.62963,919577142.592592,1022191294.07407,1157005441.4814801,1311401318.88889,1368431037.03704,1224253000.0,1152469074.07407,1142042925.92593,1211411703.7037,1192925407.40741,1280133333.3333302,1364863037.03704,1460144703.7037,1404030900.0
7,7,7,ignore,NY.GDP.MKTP.CD,Argentina,ARG,26436857247.4982,31256284543.6155,31584210365.5447,33293199095.4881,34733000536.2862,52544000116.9037,72436777342.4554,52438647921.9226,51169499890.7722,56781000100.9448,58082870156.2634,69252328953.3789,76961923741.9478,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.19699,126206817196.091,76636898036.4712,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17699,164657930452.787,198737095012.28198,232557260817.308,287530508430.568,361558037110.419,332976484577.61896,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,584711485367.2671,545476103427.247,545476103427.247
8,8,8,ignore,NY.GDP.MKTP.CD,Armenia,ARM,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2125008372.31,2256838858.4271398,2068526521.9029899,1272577456.12712,1201313201.0127199,1315158670.28285,1468317350.06841,1596968913.27897,1639492424.3647199,1893726437.2646198,1845482181.4480102,1911563665.3900602,2118467913.37873,2376335048.3997602,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.987041,9260284937.797821,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10572298341.5618,10666539467.1
9,9,9,ignore,NY.GDP.MKTP.CD,Aruba,ABW,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1361787709.5,1330167597.7653599,1320670391.06145,1379888268.15642,1531843575.4189901,1665363128.4916198,1722798882.68156,1873452513.96648,1920262569.8324,1941094972.0670397,2021301675.97765,2228279329.6089396,2331005586.5921803,2421474860.3352,2623726256.9832397,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,2540882681.56,2540882681.56,2540882681.56,2540882681.56,2540882681.56,2540882681.56
10,10,10,ignore,NY.GDP.MKTP.CD,Australia,AUS,32687870982.1929,36659200358.3828,41304737372.6061,45183111210.6619,52003504672.8972,63782190903.2671,88906411201.1791,97226546497.3372,104974158578.092,110266116081.67,118400631626.438,134793820288.53801,149887465181.059,176804829908.278,193954540439.148,177176415535.798,193503894222.061,180470967247.066,182281757134.863,189375992588.67102,236135768335.274,299941372852.37396,311425933051.174,326068597441.331,325692532492.502,312372821810.00604,323216879972.328,368391743391.743,401819423368.74,436097980904.68,399778878111.646,389146509587.66797,415446209885.072,378899860470.108,394635830891.586,466853232382.062,613329776639.636,693764095624.718,747572626534.891,853764622752.61,1055334825425.25,927168310999.853,1142876772659.21,1390557034407.97,1538194473087.23,1567178619062.28,1459597906912.7,1345383143356.35,1204616439828.41,1204616439828.41
11,11,11,ignore,NY.GDP.MKTP.CD,Austria,AUT,12440625312.8685,13582798556.2404,15373005768.7219,17858485956.6031,22059612417.4058,29515467987.912003,35189299985.2768,40059206763.056,42959976068.1138,51545759220.7143,62052258694.2102,73937296654.6577,82058912465.4329,71034228097.4598,71275287327.5793,72121016623.2572,67985345161.9558,69386774474.5943,99036165209.5539,124168442860.253,133339397080.129,133105805928.237,166463386663.439,173794177725.398,195078126346.10602,190379720927.48102,203535242741.838,241038283062.645,237250948791.26602,212790348404.555,218259904401.95602,217185787342.851,196799778883.36102,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.35297,430294287388.31104,400172297860.517,391892746544.69,431120310088.82,409425234155.26294,430068712971.867,441885415805.825,382065930307.97797,390799991147.46796,390799991147.46796
